"Name","K","Kin","Kout","TypeI","TypeII","Type"
"ANXA7",58,46,12,0,1,"coding"
"A2M",19,8,11,0,1,"coding"
"ATF7IP",84,64,20,0,1,"coding"
"H2AFX",49,43,6,0,1,"coding"
"HMOX2",19,12,7,0,1,"coding"
"TK1",93,69,24,0,1,"coding"
"MAP1LC3B",30,26,4,0,1,"coding"
"MDFI",47,41,6,0,1,"coding"
"RB1",135,115,20,0,1,"coding"
"ABCA1",53,47,6,0,1,"coding"
"CSNK2A1",139,116,23,0,1,"coding"
"MPP6",41,40,1,0,1,"coding"
"HAX1",12,10,2,0,1,"coding"
"RDX",71,66,5,0,1,"coding"
"HSPA8",85,71,14,0,1,"coding"
"NCK2",38,30,8,0,1,"coding"
"SOS1",69,50,19,0,1,"coding"
"SOS2",35,31,4,0,1,"coding"
"WASF1",29,27,2,0,1,"coding"
"ABI3",7,6,1,0,1,"coding"
"ABL1",77,46,31,0,1,"coding"
"CASP9",27,22,5,0,1,"coding"
"CAV1",93,68,25,0,1,"coding"
"CDK5",27,21,6,0,1,"coding"
"CRK",114,90,24,0,1,"coding"
"MAPT",54,46,8,0,1,"coding"
"POLR2A",76,67,9,0,1,"coding"
"PRKD1",32,28,4,0,1,"coding"
"PRKDC",69,61,8,0,1,"coding"
"RAN",99,87,12,0,1,"coding"
"XRCC6",66,55,11,0,1,"coding"
"YWHAE",86,78,8,0,1,"coding"
"ATXN1",172,145,27,0,1,"coding"
"USP7",40,36,4,0,1,"coding"
"YWHAG",206,168,38,0,1,"coding"
"CTNNB1",101,79,22,0,1,"coding"
"SPTAN1",25,19,6,0,1,"coding"
"CFL1",22,19,3,0,1,"coding"
"MYLK",69,65,4,0,1,"coding"
"S100A4",7,5,2,0,1,"coding"
"VASP",29,25,4,0,1,"coding"
"VCL",114,84,30,0,1,"coding"
"ACTB",126,103,23,0,1,"coding"
"CSNK1A1",101,90,11,0,1,"coding"
"EMD",26,22,4,0,1,"coding"
"RCC1",35,30,5,0,1,"coding"
"DYNLL1",34,25,9,0,1,"coding"
"GSN",35,28,7,0,1,"coding"
"PDPK1",98,89,9,0,1,"coding"
"PFN2",61,56,5,0,1,"coding"
"PIP4K2C",43,37,6,0,1,"coding"
"RPS6KA5",76,70,6,0,1,"coding"
"ACTN1",44,36,8,0,1,"coding"
"COIL",56,50,6,0,1,"coding"
"ACTN4",42,40,2,0,1,"coding"
"CHD3",45,32,13,0,1,"coding"
"DCTN1",11,9,2,0,1,"coding"
"CDC42",67,47,20,0,1,"coding"
"ACVR1",70,51,19,0,1,"coding"
"AP2B1",67,58,9,0,1,"coding"
"RAP2A",38,33,5,0,1,"coding"
"STX8",6,5,1,0,1,"coding"
"ACVR2A",59,57,2,0,1,"coding"
"TGFB1",31,21,10,0,1,"coding"
"TGFB3",14,11,3,0,1,"coding"
"TGFBR2",126,113,13,0,1,"coding"
"GRB2",79,53,26,0,1,"coding"
"SH3D19",58,56,2,0,1,"coding"
"NOTCH1",55,50,5,0,1,"coding"
"TNFSF11",20,17,3,0,1,"coding"
"MAD2L2",8,5,3,0,1,"coding"
"FN1",85,70,15,0,1,"coding"
"CALM1",76,70,6,0,1,"coding"
"PRKCD",55,41,14,0,1,"coding"
"APPL1",48,42,6,0,1,"coding"
"GNAZ",8,6,2,0,1,"coding"
"SLC9A3R2",40,34,6,0,1,"coding"
"RGS2",27,14,13,0,1,"coding"
"GNAI2",59,54,5,0,1,"coding"
"YWHAZ",190,147,43,0,1,"coding"
"GNAO1",16,12,4,0,1,"coding"
"DLG4",54,28,26,0,1,"coding"
"ADRB2",21,15,6,0,1,"coding"
"GNA11",26,21,5,0,1,"coding"
"GPRASP1",25,9,16,0,1,"coding"
"GRK5",37,29,8,0,1,"coding"
"SRC",52,31,21,0,1,"coding"
"GIT1",41,31,10,0,1,"coding"
"MAPK3",45,39,6,0,1,"coding"
"PRKCB",46,36,10,0,1,"coding"
"PRKCE",44,37,7,0,1,"coding"
"ATXN1L",87,77,10,0,1,"coding"
"AFF1",88,77,11,0,1,"coding"
"SGSM2",35,29,6,0,1,"coding"
"UBE3A",58,53,5,0,1,"coding"
"SMN1",33,13,20,0,1,"coding"
"CCDC85B",74,60,14,0,1,"coding"
"CDKN2A",27,25,2,0,1,"coding"
"ARNT",51,26,25,0,1,"coding"
"EP300",167,145,22,0,1,"coding"
"NCOA1",95,64,31,0,1,"coding"
"NCOA2",71,58,13,0,1,"coding"
"AIP",20,19,1,0,1,"coding"
"PRKAR2A",68,63,5,0,1,"coding"
"AKAP10",41,36,5,0,1,"coding"
"PRKAR1A",63,48,15,0,1,"coding"
"GSK3B",135,99,36,0,1,"coding"
"YWHAB",103,81,22,0,1,"coding"
"IQGAP1",49,42,7,0,1,"coding"
"KPNB1",88,74,14,0,1,"coding"
"PRPF40A",75,60,15,0,1,"coding"
"AKAP9",42,38,4,0,1,"coding"
"PKN1",18,16,2,0,1,"coding"
"AKT1",65,48,17,0,1,"coding"
"BAD",20,10,10,0,1,"coding"
"CHUK",48,33,15,0,1,"coding"
"YAP1",58,55,3,0,1,"coding"
"HSP90AA1",103,79,24,0,1,"coding"
"IGSF21",10,7,3,0,1,"coding"
"XRN1",60,54,6,0,1,"coding"
"JAK3",28,16,12,0,1,"coding"
"PLCG1",81,58,23,0,1,"coding"
"PTN",27,11,16,0,1,"coding"
"PTPRZ1",15,11,4,0,1,"coding"
"EGFR",130,89,41,0,1,"coding"
"AMOTL2",53,51,2,0,1,"coding"
"KRT15",14,12,2,0,1,"coding"
"CDKN1A",101,96,5,0,1,"coding"
"CSNK2B",57,21,36,0,1,"coding"
"TEK",18,11,7,0,1,"coding"
"SPTBN1",56,51,5,0,1,"coding"
"HDAC4",53,50,3,0,1,"coding"
"LRP2",24,14,10,0,1,"coding"
"ANXA1",19,13,6,0,1,"coding"
"COPS6",46,30,16,0,1,"coding"
"UNC119",37,18,19,0,1,"coding"
"S100A6",6,5,1,0,1,"coding"
"S100A10",13,12,1,0,1,"coding"
"EED",43,41,2,0,1,"coding"
"RBBP4",60,55,5,0,1,"coding"
"VIM",79,63,16,0,1,"coding"
"AP1M1",24,18,6,0,1,"coding"
"DVL2",29,21,8,0,1,"coding"
"AP1M2",8,5,3,0,1,"coding"
"AP1S1",35,34,1,0,1,"coding"
"AP2A1",29,23,6,0,1,"coding"
"BIN1",14,11,3,0,1,"coding"
"RIT1",21,19,2,0,1,"coding"
"HTT",60,49,11,0,1,"coding"
"AP2M1",34,32,2,0,1,"coding"
"AP3B1",41,38,3,0,1,"coding"
"CLTC",101,88,13,0,1,"coding"
"ARF1",54,48,6,0,1,"coding"
"TGOLN2",73,70,3,0,1,"coding"
"CASP3",95,61,34,0,1,"coding"
"HSPA1A",40,32,8,0,1,"coding"
"APBA1",32,29,3,0,1,"coding"
"APP",104,84,20,0,1,"coding"
"APLP2",38,37,1,0,1,"coding"
"CTBP1",51,43,8,0,1,"coding"
"APEH",5,4,1,0,1,"coding"
"PCNA",79,70,9,0,1,"coding"
"UBE2I",65,55,10,0,1,"coding"
"APOA1",10,5,5,0,1,"coding"
"MAPK6",118,87,31,0,1,"coding"
"LRP1",51,39,12,0,1,"coding"
"FLOT1",20,18,2,0,1,"coding"
"HSPG2",33,28,5,0,1,"coding"
"NID1",45,43,2,0,1,"coding"
"PSEN2",15,9,6,0,1,"coding"
"APPBP2",47,45,2,0,1,"coding"
"PIK3CA",54,44,10,0,1,"coding"
"EFEMP2",24,18,6,0,1,"coding"
"CDC37",46,41,5,0,1,"coding"
"CDK7",11,9,2,0,1,"coding"
"CREBBP",294,86,208,0,1,"coding"
"GTF2H1",32,27,5,0,1,"coding"
"KAT2B",55,49,6,0,1,"coding"
"MED1",46,41,5,0,1,"coding"
"MED14",43,40,3,0,1,"coding"
"NCOR2",91,52,39,0,1,"coding"
"NFKB1",168,33,135,0,1,"coding"
"RNF4",43,42,1,0,1,"coding"
"SMAD1",168,29,139,0,1,"coding"
"SMAD3",158,49,109,0,1,"coding"
"ARPC3",22,21,1,0,1,"coding"
"PIK3R1",129,87,42,0,1,"coding"
"RASA1",72,51,21,0,1,"coding"
"RHOA",57,49,8,0,1,"coding"
"TUBA4A",23,16,7,0,1,"coding"
"TGFBR1",118,80,38,0,1,"coding"
"SMURF2",78,59,19,0,1,"coding"
"ARHGDIA",54,52,2,0,1,"coding"
"VAV1",36,28,8,0,1,"coding"
"GNA12",33,24,9,0,1,"coding"
"GNA13",65,54,11,0,1,"coding"
"ARHGEF12",54,48,6,0,1,"coding"
"CD44",23,20,3,0,1,"coding"
"IGF1R",184,169,15,0,1,"coding"
"ARHGEF7",28,22,6,0,1,"coding"
"CBLB",46,38,8,0,1,"coding"
"SMARCE1",29,25,4,0,1,"coding"
"E2F1",670,66,604,0,1,"coding"
"SIN3A",60,54,6,0,1,"coding"
"GAPDH",66,49,17,0,1,"coding"
"UBR1",39,29,10,0,1,"coding"
"ARL4D",26,25,1,0,1,"coding"
"ATP5J2",11,9,2,0,1,"coding"
"WAS",25,12,13,0,1,"coding"
"MDM2",155,144,11,0,1,"coding"
"ARRB2",38,25,13,0,1,"coding"
"FLNA",71,58,13,0,1,"coding"
"MAPK1",182,157,25,0,1,"coding"
"MED8",47,42,5,0,1,"coding"
"HCK",35,25,10,0,1,"coding"
"ASCC2",18,14,4,0,1,"coding"
"TBC1D17",17,15,2,0,1,"coding"
"H3F3A",18,17,1,0,1,"coding"
"ASGR1",19,17,2,0,1,"coding"
"DHFR",11,9,2,0,1,"coding"
"PFDN1",12,7,5,0,1,"coding"
"CREB1",373,72,301,0,1,"coding"
"SPI1",328,20,308,0,1,"coding"
"HMGA1",90,80,10,0,1,"coding"
"JUN",400,58,342,0,1,"coding"
"CEBPG",46,42,4,0,1,"coding"
"CDC34",21,20,1,0,1,"coding"
"DISC1",34,32,2,0,1,"coding"
"LUC7L2",52,44,8,0,1,"coding"
"EIF4EBP1",54,51,3,0,1,"coding"
"STK11",45,40,5,0,1,"coding"
"TOPBP1",29,26,3,0,1,"coding"
"WRN",26,24,2,0,1,"coding"
"XRCC5",51,45,6,0,1,"coding"
"ATN1",46,32,14,0,1,"coding"
"DMPK",31,28,3,0,1,"coding"
"EWSR1",44,24,20,0,1,"coding"
"TRIP6",24,17,7,0,1,"coding"
"CSE1L",59,57,2,0,1,"coding"
"RASSF1",19,12,7,0,1,"coding"
"ATP5C1",21,18,3,0,1,"coding"
"ATR",19,13,6,0,1,"coding"
"CDK6",145,142,3,0,1,"coding"
"DAZAP2",118,112,6,0,1,"coding"
"RBPMS",34,32,2,0,1,"coding"
"RAD23A",22,16,6,0,1,"coding"
"RNF11",105,85,20,0,1,"coding"
"NME1",23,19,4,0,1,"coding"
"PPP1CA",32,26,6,0,1,"coding"
"PPP1CC",67,64,3,0,1,"coding"
"PRKCA",126,76,50,0,1,"coding"
"GNAS",57,54,3,0,1,"coding"
"AXIN1",37,20,17,0,1,"coding"
"PPP2CA",99,88,11,0,1,"coding"
"PPP2CB",25,24,1,0,1,"coding"
"CBL",107,80,27,0,1,"coding"
"IL2RG",11,8,3,0,1,"coding"
"LCK",63,34,29,0,1,"coding"
"SHC1",41,33,8,0,1,"coding"
