"mRNA_Group","Influence"
"GATA1 FOS JUN E2F6 MYB",24
"GATA1 TCF3 FOS JUN MYB SPI1",23
"STAT1 FOS MBD3 JUN E2F6 MYB SPI1",20
"FOS JUN MYB SPI1",19
"GATA1 FOS MBD3 JUN SPI1",19
"GATA1 TCF3 FOS MBD3 JUN MYB",19
"TCF3 FOS MBD3 JUN E2F6 MYB",19
"FOS MYB SPI1",18
"STAT1 JUN MYB SPI1",18
"GATA1 FOS JUN MYB",18
"GATA1 MBD3 JUN MYB",18
"FOS MBD3 JUN SPI1",18
"MBD3 JUN MYB SPI1",18
"TCF3 FOS MBD3 JUN MYB",18
"STAT1 GATA1 FOS",17
"GATA1 MBD3 MYB",17
"MBD3 JUN SPI1",17
"JUN MYB SPI1",17
"GATA1 FOS MBD3 E2F6",17
"GATA1 FOS MBD3 SPI1",17
"TCF3 FOS JUN MYB",17
"TCF3 FOS MBD3 E2F6 MYB",17
"GATA1 FOS",16
"FOS SPI1",16
"GATA1 MBD3 JUN",16
"TCF3 FOS MYB",16
"MBD3 MYB SPI1",16
"GATA1 TCF3 MYB SPI1",16
"FOS MBD3 JUN MYB",16
"STAT1 GATA1 JUN",15
"STAT1 GATA1 MYB",15
"GATA1 JUN MYB",15
"TCF3 FOS JUN",15
"TCF3 MYB SPI1",15
"FOS JUN MYB",15
"STAT1 JUN E2F6 MYB",15
"GATA1 MYB",14
"FOS MBD3 MYB",14
"STAT1 TCF3 FOS MBD3",14
"STAT1 TCF3 JUN MYB",14
"GATA1 TCF3 JUN SPI1",14
"TCF3 FOS MBD3 E2F6",14
"E2F1 STAT1 TCF3 MBD3 E2F6 SPI1",14
"GATA1 TCF3",13
"TCF3 JUN",13
"TCF3 SPI1",13
"FOS MBD3",13
"FOS JUN",13
"FOS MYB",13
"MBD3 JUN",13
"JUN SPI1",13
"MYB SPI1",13
"FOS",12
"JUN",12
"STAT1 GATA1",12
"STAT1 MYB",12
"E2F1 MBD3 SPI1",12
"GATA1",11
"MYB",11
"STAT1 MBD3 SPI1",11
"E2F1 STAT1 TCF3 E2F6",11
"E2F1 STAT1",10
"MBD3 SPI1",10
"E2F1 TCF3 MBD3",10
"E2F1",9
"TCF3",9
"STAT1 SPI1",9
"MBD3",8
"SPI1",8
"STAT1",7
"E2F6",7
