"miRNA_Group","Group_Size","Total_Influence"
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-223-5p hsa-miR-99a-5p",5,17
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-99a-5p",4,16
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-22-5p",3,15
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-223-5p hsa-miR-99a-5p",4,15
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-223-5p hsa-miR-99a-5p",5,15
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-223-5p hsa-miR-99a-5p hsa-miR-6797-5p",5,15
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-342-5p hsa-miR-99a-5p",5,15
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-99a-5p",3,14
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-99a-5p",4,14
"hsa-miR-130a-5p hsa-miR-22-5p hsa-miR-222-5p hsa-miR-342-5p",4,14
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-223-5p hsa-miR-99a-5p",4,14
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-223-5p hsa-miR-99a-5p",4,14
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-223-5p hsa-miR-99a-5p",4,14
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-223-5p hsa-miR-99a-5p",4,14
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-99a-5p hsa-miR-6797-5p hsa-miR-3614-5p",6,14
"hsa-miR-130a-5p hsa-miR-22-5p",2,13
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-342-5p",3,13
"hsa-miR-34a-5p hsa-miR-22-5p hsa-miR-99a-5p",3,13
"hsa-miR-342-5p hsa-miR-223-5p hsa-miR-99a-5p",3,13
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-223-5p",4,13
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-223-5p hsa-miR-6797-5p",4,13
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-99a-5p hsa-miR-3614-5p",4,13
"hsa-miR-22-5p hsa-miR-222-5p hsa-miR-223-5p hsa-miR-99a-5p",4,13
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-99a-5p hsa-miR-6797-5p",5,13
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-99a-5p hsa-miR-3614-5p",5,13
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-6797-5p hsa-miR-3614-5p",5,13
"hsa-miR-34a-5p hsa-miR-22-5p",2,12
"hsa-miR-342-5p hsa-miR-99a-5p",2,12
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-223-5p",3,12
"hsa-miR-130a-5p hsa-miR-222-5p hsa-miR-99a-5p",3,12
"hsa-miR-130a-5p hsa-miR-342-5p hsa-miR-223-5p",3,12
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-223-5p",3,12
"hsa-miR-34a-5p hsa-miR-342-5p hsa-miR-3614-5p",3,12
"hsa-miR-22-5p hsa-miR-222-5p hsa-miR-99a-5p",3,12
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-6797-5p",4,12
"hsa-miR-130a-5p hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-3614-5p",4,12
"hsa-miR-342-5p",1,11
"hsa-miR-130a-5p hsa-miR-222-5p",2,11
"hsa-miR-130a-5p hsa-miR-99a-5p",2,11
"hsa-miR-22-5p hsa-miR-222-5p",2,11
"hsa-miR-34a-5p hsa-miR-222-5p hsa-miR-223-5p hsa-miR-99a-5p",4,11
"hsa-miR-130a-5p",1,10
"hsa-miR-22-5p hsa-miR-99a-5p",2,10
"hsa-miR-222-5p hsa-miR-99a-5p",2,10
"hsa-miR-22-5p",1,9
"hsa-miR-222-5p",1,9
"hsa-miR-34a-5p hsa-miR-223-5p hsa-miR-99a-5p",3,4
"hsa-miR-34a-5p hsa-miR-99a-5p hsa-miR-3614-5p",3,3
"hsa-miR-34a-5p hsa-miR-223-5p",2,2
"hsa-miR-34a-5p hsa-miR-99a-5p",2,2
"hsa-miR-34a-5p hsa-miR-3614-5p",2,2
"hsa-miR-34a-5p",1,1
"hsa-miR-223-5p hsa-miR-99a-5p",2,1
