"mRNA_Group","Group_Size","Total_Influence"
"GATA1 FOS JUN E2F6 MYB",5,24
"GATA1 TCF3 FOS JUN MYB SPI1",6,23
"STAT1 FOS MBD3 JUN E2F6 MYB SPI1",7,20
"FOS JUN MYB SPI1",4,19
"GATA1 FOS MBD3 JUN SPI1",5,19
"GATA1 TCF3 FOS MBD3 JUN MYB",6,19
"TCF3 FOS MBD3 JUN E2F6 MYB",6,19
"FOS MYB SPI1",3,18
"STAT1 JUN MYB SPI1",4,18
"GATA1 FOS JUN MYB",4,18
"GATA1 MBD3 JUN MYB",4,18
"FOS MBD3 JUN SPI1",4,18
"MBD3 JUN MYB SPI1",4,18
"TCF3 FOS MBD3 JUN MYB",5,18
"STAT1 GATA1 FOS",3,17
"GATA1 MBD3 MYB",3,17
"MBD3 JUN SPI1",3,17
"JUN MYB SPI1",3,17
"GATA1 FOS MBD3 E2F6",4,17
"GATA1 FOS MBD3 SPI1",4,17
"TCF3 FOS JUN MYB",4,17
"TCF3 FOS MBD3 E2F6 MYB",5,17
"GATA1 FOS",2,16
"FOS SPI1",2,16
"GATA1 MBD3 JUN",3,16
"TCF3 FOS MYB",3,16
"MBD3 MYB SPI1",3,16
"GATA1 TCF3 MYB SPI1",4,16
"FOS MBD3 JUN MYB",4,16
"STAT1 GATA1 JUN",3,15
"STAT1 GATA1 MYB",3,15
"GATA1 JUN MYB",3,15
"TCF3 FOS JUN",3,15
"TCF3 MYB SPI1",3,15
"FOS JUN MYB",3,15
"STAT1 JUN E2F6 MYB",4,15
"GATA1 MYB",2,14
"FOS MBD3 MYB",3,14
"STAT1 TCF3 FOS MBD3",4,14
"STAT1 TCF3 JUN MYB",4,14
"GATA1 TCF3 JUN SPI1",4,14
"TCF3 FOS MBD3 E2F6",4,14
"E2F1 STAT1 TCF3 MBD3 E2F6 SPI1",6,14
"GATA1 TCF3",2,13
"TCF3 JUN",2,13
"TCF3 SPI1",2,13
"FOS MBD3",2,13
"FOS JUN",2,13
"FOS MYB",2,13
"MBD3 JUN",2,13
"JUN SPI1",2,13
"MYB SPI1",2,13
"FOS",1,12
"JUN",1,12
"STAT1 GATA1",2,12
"STAT1 MYB",2,12
"E2F1 MBD3 SPI1",3,12
"GATA1",1,11
"MYB",1,11
"STAT1 MBD3 SPI1",3,11
"E2F1 STAT1 TCF3 E2F6",4,11
"E2F1 STAT1",2,10
"MBD3 SPI1",2,10
"E2F1 TCF3 MBD3",3,10
"E2F1",1,9
"TCF3",1,9
"STAT1 SPI1",2,9
"MBD3",1,8
"SPI1",1,8
"STAT1",1,7
"E2F6",1,7
