"mRNA_Group","Influence"
"E2F1","9"
"STAT1","7"
"GATA1","11"
"TCF3","9"
"FOS","12"
"MBD3","8"
"JUN","12"
"E2F6","7"
"MYB","11"
"SPI1","8"
"E2F1 STAT1","10"
"E2F1 GATA1","9"
"E2F1 TCF3","8"
"E2F1 FOS","9"
"E2F1 MBD3","9"
"E2F1 JUN","10"
"E2F1 E2F6","9"
"E2F1 MYB","11"
"E2F1 SPI1","9"
"STAT1 GATA1","12"
"STAT1 TCF3","8"
"STAT1 FOS","9"
"STAT1 MBD3","8"
"STAT1 JUN","12"
"STAT1 E2F6","7"
"STAT1 MYB","12"
"STAT1 SPI1","9"
"GATA1 TCF3","13"
"GATA1 FOS","16"
"GATA1 MBD3","8"
"GATA1 JUN","12"
"GATA1 E2F6","10"
"GATA1 MYB","14"
"GATA1 SPI1","8"
"TCF3 FOS","12"
"TCF3 MBD3","8"
"TCF3 JUN","13"
"TCF3 E2F6","8"
"TCF3 MYB","8"
"TCF3 SPI1","13"
"FOS MBD3","13"
"FOS JUN","13"
"FOS E2F6","12"
"FOS MYB","13"
"FOS SPI1","16"
"MBD3 JUN","13"
"MBD3 E2F6","8"
"MBD3 MYB","9"
"MBD3 SPI1","10"
"JUN E2F6","8"
"JUN MYB","11"
"JUN SPI1","13"
"E2F6 MYB","11"
"E2F6 SPI1","8"
"MYB SPI1","13"
"E2F1 STAT1 GATA1","9"
"E2F1 STAT1 TCF3","9"
"E2F1 STAT1 FOS","9"
"E2F1 STAT1 MBD3","10"
"E2F1 STAT1 JUN","10"
"E2F1 STAT1 E2F6","10"
"E2F1 STAT1 MYB","12"
"E2F1 STAT1 SPI1","9"
"E2F1 GATA1 TCF3","11"
"E2F1 GATA1 FOS","11"
"E2F1 GATA1 MBD3","9"
"E2F1 GATA1 JUN","12"
"E2F1 GATA1 E2F6","9"
"E2F1 GATA1 MYB","13"
"E2F1 GATA1 SPI1","9"
"E2F1 TCF3 FOS","12"
"E2F1 TCF3 MBD3","10"
"E2F1 TCF3 JUN","10"
"E2F1 TCF3 E2F6","8"
"E2F1 TCF3 MYB","10"
"E2F1 TCF3 SPI1","12"
"E2F1 FOS MBD3","10"
"E2F1 FOS JUN","10"
"E2F1 FOS E2F6","10"
"E2F1 FOS MYB","12"
"E2F1 FOS SPI1","10"
"E2F1 MBD3 JUN","10"
"E2F1 MBD3 E2F6","8"
"E2F1 MBD3 MYB","11"
"E2F1 MBD3 SPI1","12"
"E2F1 JUN E2F6","9"
"E2F1 JUN MYB","11"
"E2F1 JUN SPI1","11"
"E2F1 E2F6 MYB","10"
"E2F1 E2F6 SPI1","9"
"E2F1 MYB SPI1","13"
"STAT1 GATA1 TCF3","9"
"STAT1 GATA1 FOS","17"
"STAT1 GATA1 MBD3","11"
"STAT1 GATA1 JUN","15"
"STAT1 GATA1 E2F6","8"
"STAT1 GATA1 MYB","15"
"STAT1 GATA1 SPI1","9"
"STAT1 TCF3 FOS","9"
"STAT1 TCF3 MBD3","8"
"STAT1 TCF3 JUN","8"
"STAT1 TCF3 E2F6","8"
"STAT1 TCF3 MYB","9"
"STAT1 TCF3 SPI1","10"
"STAT1 FOS MBD3","10"
"STAT1 FOS JUN","13"
"STAT1 FOS E2F6","11"
"STAT1 FOS MYB","12"
"STAT1 FOS SPI1","10"
"STAT1 MBD3 JUN","10"
"STAT1 MBD3 E2F6","8"
"STAT1 MBD3 MYB","9"
"STAT1 MBD3 SPI1","11"
"STAT1 JUN E2F6","8"
"STAT1 JUN MYB","11"
"STAT1 JUN SPI1","10"
"STAT1 E2F6 MYB","10"
"STAT1 E2F6 SPI1","8"
"STAT1 MYB SPI1","12"
"GATA1 TCF3 FOS","15"
"GATA1 TCF3 MBD3","11"
"GATA1 TCF3 JUN","13"
"GATA1 TCF3 E2F6","10"
"GATA1 TCF3 MYB","13"
"GATA1 TCF3 SPI1","13"
"GATA1 FOS MBD3","15"
"GATA1 FOS JUN","16"
"GATA1 FOS E2F6","12"
"GATA1 FOS MYB","13"
"GATA1 FOS SPI1","16"
"GATA1 MBD3 JUN","16"
"GATA1 MBD3 E2F6","9"
"GATA1 MBD3 MYB","17"
"GATA1 MBD3 SPI1","10"
"GATA1 JUN E2F6","10"
"GATA1 JUN MYB","15"
"GATA1 JUN SPI1","13"
"GATA1 E2F6 MYB","12"
"GATA1 E2F6 SPI1","8"
"GATA1 MYB SPI1","11"
"TCF3 FOS MBD3","13"
"TCF3 FOS JUN","15"
"TCF3 FOS E2F6","12"
"TCF3 FOS MYB","16"
"TCF3 FOS SPI1","13"
"TCF3 MBD3 JUN","10"
"TCF3 MBD3 E2F6","8"
"TCF3 MBD3 MYB","9"
"TCF3 MBD3 SPI1","12"
"TCF3 JUN E2F6","12"
"TCF3 JUN MYB","13"
"TCF3 JUN SPI1","13"
"TCF3 E2F6 MYB","9"
"TCF3 E2F6 SPI1","12"
"TCF3 MYB SPI1","15"
"FOS MBD3 JUN","12"
"FOS MBD3 E2F6","12"
"FOS MBD3 MYB","14"
"FOS MBD3 SPI1","13"
"FOS JUN E2F6","13"
"FOS JUN MYB","15"
"FOS JUN SPI1","16"
"FOS E2F6 MYB","13"
"FOS E2F6 SPI1","13"
