"mRNA_Group","Influence"
"FOS MBD3 JUN E2F6 MYB SPI1",71
"GATA1 FOS MBD3 JUN MYB SPI1",69
"TCF3 FOS MBD3 JUN MYB SPI1",69
"GATA1 FOS MBD3 JUN SPI1",68
"GATA1 TCF3 FOS MBD3 JUN MYB",68
"GATA1 FOS MBD3 SPI1",67
"FOS MBD3 JUN SPI1",67
"TCF3 FOS MBD3 JUN E2F6 MYB",67
"GATA1 MBD3 JUN MYB",66
"MBD3 JUN MYB SPI1",66
"GATA1 TCF3 FOS MBD3 MYB",66
"FOS MBD3 E2F6 MYB SPI1",66
"GATA1 TCF3 FOS JUN MYB SPI1",66
"GATA1 TCF3 MBD3 E2F6 MYB SPI1",66
"GATA1 MBD3 JUN SPI1",65
"GATA1 TCF3 MBD3 MYB SPI1",65
"TCF3 FOS MBD3 JUN MYB",65
"MBD3 JUN SPI1",64
"FOS MBD3 MYB SPI1",64
"GATA1 TCF3 JUN MYB SPI1",64
"GATA1 FOS MBD3 E2F6 MYB",64
"GATA1 FOS JUN E2F6 MYB",64
"FOS JUN MYB SPI1",63
"GATA1 TCF3 FOS MYB SPI1",63
"FOS MYB SPI1",62
"STAT1 GATA1 MBD3 MYB SPI1",62
"GATA1 MBD3 MYB",61
"MBD3 MYB SPI1",60
"GATA1 FOS MBD3 E2F6",60
"FOS MBD3 E2F6 SPI1",60
"TCF3 FOS MBD3 E2F6 MYB",60
"STAT1 GATA1 TCF3 FOS MBD3 JUN",60
"GATA1 TCF3 FOS MBD3",59
"GATA1 FOS MBD3",58
"FOS MBD3 SPI1",58
"TCF3 FOS MBD3 MYB",58
"STAT1 GATA1 JUN E2F6 MYB SPI1",58
"STAT1 JUN E2F6 MYB SPI1",57
"GATA1 TCF3 FOS JUN SPI1",57
"TCF3 FOS MBD3 JUN E2F6",57
"STAT1 JUN MYB SPI1",56
"GATA1 FOS SPI1",55
"GATA1 TCF3 FOS MYB",55
"GATA1 FOS JUN MYB",55
"FOS SPI1",54
"GATA1 MBD3 JUN",54
"GATA1 TCF3 JUN MYB",54
"GATA1 TCF3 MYB SPI1",54
"TCF3 FOS MBD3 JUN",54
"STAT1 GATA1 FOS",53
"TCF3 MBD3 JUN MYB",53
"FOS MBD3 JUN MYB",53
"FOS MBD3 E2F6 MYB",53
"GATA1 TCF3 FOS",52
"GATA1 FOS MYB",52
"GATA1 TCF3 JUN SPI1",52
"TCF3 FOS JUN MYB",52
"FOS JUN E2F6 MYB",52
"TCF3 FOS JUN",51
"TCF3 MYB SPI1",51
"FOS JUN MYB",51
"JUN E2F6 SPI1",51
"JUN MYB SPI1",51
"TCF3 FOS MBD3 E2F6",51
"FOS MBD3",50
"FOS MYB",50
"GATA1 FOS JUN",50
"FOS JUN E2F6",50
"FOS",49
"JUN",49
"STAT1 GATA1 MYB",49
"TCF3 E2F6 SPI1",49
"MYB",48
"GATA1 TCF3",48
"TCF3 MBD3 SPI1",48
"TCF3 SPI1",47
"E2F1 STAT1 TCF3 MBD3 E2F6",47
"STAT1 MBD3 SPI1",46
"GATA1 MBD3 SPI1",46
"E2F1 STAT1 GATA1 E2F6",46
"MBD3 SPI1",45
"TCF3",44
"STAT1 GATA1",42
"STAT1 SPI1",42
"GATA1",41
"STAT1 MBD3",41
"MBD3",38
"SPI1",38
"E2F1 STAT1",38
"E2F1",31
"E2F6",30
"STAT1",29
