"mRNA_Group","Group_Size","Total_Influence"
"FOS MBD3 JUN E2F6 MYB SPI1",6,71
"GATA1 FOS MBD3 JUN MYB SPI1",6,69
"TCF3 FOS MBD3 JUN MYB SPI1",6,69
"GATA1 FOS MBD3 JUN SPI1",5,68
"GATA1 TCF3 FOS MBD3 JUN MYB",6,68
"GATA1 FOS MBD3 SPI1",4,67
"FOS MBD3 JUN SPI1",4,67
"TCF3 FOS MBD3 JUN E2F6 MYB",6,67
"GATA1 MBD3 JUN MYB",4,66
"MBD3 JUN MYB SPI1",4,66
"GATA1 TCF3 FOS MBD3 MYB",5,66
"FOS MBD3 E2F6 MYB SPI1",5,66
"GATA1 TCF3 FOS JUN MYB SPI1",6,66
"GATA1 TCF3 MBD3 E2F6 MYB SPI1",6,66
"GATA1 MBD3 JUN SPI1",4,65
"GATA1 TCF3 MBD3 MYB SPI1",5,65
"TCF3 FOS MBD3 JUN MYB",5,65
"MBD3 JUN SPI1",3,64
"FOS MBD3 MYB SPI1",4,64
"GATA1 TCF3 JUN MYB SPI1",5,64
"GATA1 FOS MBD3 E2F6 MYB",5,64
"GATA1 FOS JUN E2F6 MYB",5,64
"FOS JUN MYB SPI1",4,63
"GATA1 TCF3 FOS MYB SPI1",5,63
"FOS MYB SPI1",3,62
"STAT1 GATA1 MBD3 MYB SPI1",5,62
"GATA1 MBD3 MYB",3,61
"MBD3 MYB SPI1",3,60
"GATA1 FOS MBD3 E2F6",4,60
"FOS MBD3 E2F6 SPI1",4,60
"TCF3 FOS MBD3 E2F6 MYB",5,60
"STAT1 GATA1 TCF3 FOS MBD3 JUN",6,60
"GATA1 TCF3 FOS MBD3",4,59
"GATA1 FOS MBD3",3,58
"FOS MBD3 SPI1",3,58
"TCF3 FOS MBD3 MYB",4,58
"STAT1 GATA1 JUN E2F6 MYB SPI1",6,58
"STAT1 JUN E2F6 MYB SPI1",5,57
"GATA1 TCF3 FOS JUN SPI1",5,57
"TCF3 FOS MBD3 JUN E2F6",5,57
"STAT1 JUN MYB SPI1",4,56
"GATA1 FOS SPI1",3,55
"GATA1 TCF3 FOS MYB",4,55
"GATA1 FOS JUN MYB",4,55
"FOS SPI1",2,54
"GATA1 MBD3 JUN",3,54
"GATA1 TCF3 JUN MYB",4,54
"GATA1 TCF3 MYB SPI1",4,54
"TCF3 FOS MBD3 JUN",4,54
"STAT1 GATA1 FOS",3,53
"TCF3 MBD3 JUN MYB",4,53
"FOS MBD3 JUN MYB",4,53
"FOS MBD3 E2F6 MYB",4,53
"GATA1 TCF3 FOS",3,52
"GATA1 FOS MYB",3,52
"GATA1 TCF3 JUN SPI1",4,52
"TCF3 FOS JUN MYB",4,52
"FOS JUN E2F6 MYB",4,52
"TCF3 FOS JUN",3,51
"TCF3 MYB SPI1",3,51
"FOS JUN MYB",3,51
"JUN E2F6 SPI1",3,51
"JUN MYB SPI1",3,51
"TCF3 FOS MBD3 E2F6",4,51
"FOS MBD3",2,50
"FOS MYB",2,50
"GATA1 FOS JUN",3,50
"FOS JUN E2F6",3,50
"FOS",1,49
"JUN",1,49
"STAT1 GATA1 MYB",3,49
"TCF3 E2F6 SPI1",3,49
"MYB",1,48
"GATA1 TCF3",2,48
"TCF3 MBD3 SPI1",3,48
"TCF3 SPI1",2,47
"E2F1 STAT1 TCF3 MBD3 E2F6",5,47
"STAT1 MBD3 SPI1",3,46
"GATA1 MBD3 SPI1",3,46
"E2F1 STAT1 GATA1 E2F6",4,46
"MBD3 SPI1",2,45
"TCF3",1,44
"STAT1 GATA1",2,42
"STAT1 SPI1",2,42
"GATA1",1,41
"STAT1 MBD3",2,41
"MBD3",1,38
"SPI1",1,38
"E2F1 STAT1",2,38
"E2F1",1,31
"E2F6",1,30
"STAT1",1,29
