"Name","K","Kin","Kout","TypeI","TypeII"
"ANXA7",58,46,12,0,1
"A2M",19,8,11,0,1
"ATF7IP",84,64,20,0,1
"H2AFX",49,43,6,0,1
"HMOX2",19,12,7,0,1
"TK1",93,69,24,0,1
"MAP1LC3B",30,26,4,0,1
"MDFI",47,41,6,0,1
"RB1",135,115,20,0,1
"ABCA1",54,48,6,0,1
"CSNK2A1",139,116,23,0,1
"MPP6",41,40,1,0,1
"HAX1",12,10,2,0,1
"RDX",71,66,5,0,1
"HSPA8",85,71,14,0,1
"NCK2",38,30,8,0,1
"SOS1",69,50,19,0,1
"SOS2",35,31,4,0,1
"WASF1",30,28,2,0,1
"ABI3",7,6,1,0,1
"ABL1",77,46,31,0,1
"CASP9",27,22,5,0,1
"CAV1",93,68,25,0,1
"CDK5",27,21,6,0,1
"CRK",114,90,24,0,1
"MAPT",54,46,8,0,1
"POLR2A",76,67,9,0,1
"PRKD1",32,28,4,0,1
"PRKDC",69,61,8,0,1
"RAN",99,87,12,0,1
"XRCC6",67,55,12,0,1
"YWHAE",86,78,8,0,1
"ATXN1",172,145,27,0,1
"USP7",40,36,4,0,1
"YWHAG",206,168,38,0,1
"CTNNB1",101,79,22,0,1
"SPTAN1",25,19,6,0,1
"CFL1",22,19,3,0,1
"MYLK",69,65,4,0,1
"S100A4",7,5,2,0,1
"VASP",29,25,4,0,1
"VCL",114,84,30,0,1
"ACTB",126,103,23,0,1
"CSNK1A1",101,90,11,0,1
"EMD",26,22,4,0,1
"RCC1",36,31,5,0,1
"DYNLL1",34,25,9,0,1
"GSN",35,28,7,0,1
"PDPK1",98,89,9,0,1
"PFN2",61,56,5,0,1
"PIP4K2C",43,37,6,0,1
"RPS6KA5",76,70,6,0,1
"ACTN1",44,36,8,0,1
"COIL",56,50,6,0,1
"ZYX",29,26,3,0,1
"ACTN4",44,42,2,0,1
"CHD3",45,32,13,0,1
"DCTN1",11,9,2,0,1
"CDC42",67,47,20,0,1
"ACVR1",70,51,19,0,1
"AP2B1",68,59,9,0,1
"RAP2A",38,33,5,0,1
"STX8",6,5,1,0,1
"ACVR2A",59,57,2,0,1
"TGFB1",31,21,10,0,1
"TGFB3",14,11,3,0,1
"TGFBR2",127,114,13,0,1
"GRB2",79,53,26,0,1
"SH3D19",58,56,2,0,1
"NOTCH1",55,50,5,0,1
"TNFSF11",20,17,3,0,1
"MAD2L2",8,5,3,0,1
"FN1",85,70,15,0,1
"CALM1",76,70,6,0,1
"PRKCD",55,41,14,0,1
"APPL1",48,42,6,0,1
"GNAZ",8,6,2,0,1
"SLC9A3R2",40,34,6,0,1
"RGS2",27,14,13,0,1
"GNAI2",59,54,5,0,1
"YWHAZ",190,147,43,0,1
"GNAO1",17,13,4,0,1
"DLG4",54,28,26,0,1
"ADRB2",21,15,6,0,1
"GNA11",26,21,5,0,1
"GPRASP1",25,9,16,0,1
"GRK5",37,29,8,0,1
"SRC",52,31,21,0,1
"GIT1",41,31,10,0,1
"MAPK3",45,39,6,0,1
"PRKCB",46,36,10,0,1
"PRKCE",44,37,7,0,1
"ATXN1L",88,78,10,0,1
"AFF1",88,77,11,0,1
"SGSM2",35,29,6,0,1
"UBE3A",58,53,5,0,1
"SMN1",33,13,20,0,1
"CCDC85B",74,60,14,0,1
"CDKN2A",27,25,2,0,1
"ARNT",51,26,25,0,1
"EP300",167,145,22,0,1
"NCOA1",95,64,31,0,1
"NCOA2",71,58,13,0,1
"AIP",20,19,1,0,1
"PRKAR2A",69,64,5,0,1
"AKAP10",42,37,5,0,1
"PRKAR1A",63,48,15,0,1
"GSK3B",135,99,36,0,1
"YWHAB",103,81,22,0,1
"IQGAP1",49,42,7,0,1
"KPNB1",89,75,14,0,1
"PRPF40A",75,60,15,0,1
"AKAP9",42,38,4,0,1
"PKN1",18,16,2,0,1
"AKT1",65,48,17,0,1
"BAD",20,10,10,0,1
"CHUK",48,33,15,0,1
"YAP1",64,61,3,0,1
"HSP90AA1",103,79,24,0,1
"IGSF21",10,7,3,0,1
"XRN1",60,54,6,0,1
"JAK3",28,16,12,0,1
"PLCG1",81,58,23,0,1
"PTN",27,11,16,0,1
"PTPRZ1",15,11,4,0,1
"EGFR",130,89,41,0,1
"AMOTL2",54,52,2,0,1
"CDKN1A",101,96,5,0,1
"CSNK2B",57,21,36,0,1
"TEK",18,11,7,0,1
"SPTBN1",56,51,5,0,1
"HDAC4",53,50,3,0,1
"LRP2",24,14,10,0,1
"ANXA1",19,13,6,0,1
"COPS6",46,30,16,0,1
"UNC119",37,18,19,0,1
"S100A6",6,5,1,0,1
"S100A10",13,12,1,0,1
"EED",43,41,2,0,1
"RBBP4",60,55,5,0,1
"VIM",79,63,16,0,1
"AP1M1",24,18,6,0,1
"DVL2",29,21,8,0,1
"AP1M2",8,5,3,0,1
"AP1S1",35,34,1,0,1
"AP2A1",29,23,6,0,1
"BIN1",14,11,3,0,1
"RIT1",21,19,2,0,1
"HTT",60,49,11,0,1
"AP2M1",34,32,2,0,1
"AP3B1",41,38,3,0,1
"CLTC",101,88,13,0,1
"ARF1",54,48,6,0,1
"TGOLN2",73,70,3,0,1
"CASP3",95,61,34,0,1
"HSPA1A",40,32,8,0,1
"APBA1",32,29,3,0,1
"APP",106,85,21,0,1
"APLP2",38,37,1,0,1
"CTBP1",51,43,8,0,1
"APEH",5,4,1,0,1
"PCNA",80,71,9,0,1
"UBE2I",65,55,10,0,1
"APOA1",10,5,5,0,1
"MAPK6",118,87,31,0,1
"LRP1",51,39,12,0,1
"FLOT1",20,18,2,0,1
"HSPG2",33,28,5,0,1
