"Name","K","Kin","Kout","TypeI","TypeII","Type"
"hsa-miR-130a-5p",1009,32,977,0,1,"non-coding"
"hsa-miR-146a-5p",350,72,278,0,1,"non-coding"
"hsa-miR-22-5p",780,70,710,0,1,"non-coding"
"hsa-miR-222-5p",420,17,403,0,1,"non-coding"
"hsa-miR-223-5p",266,37,229,0,1,"non-coding"
"hsa-miR-3124-5p",29,16,13,0,1,"non-coding"
"hsa-miR-342-5p",408,46,362,0,1,"non-coding"
"hsa-miR-34a-5p",853,34,819,0,1,"non-coding"
"hsa-miR-3614-5p",135,78,57,0,1,"non-coding"
"hsa-miR-3648",151,146,5,0,1,"non-coding"
"hsa-miR-4473",46,31,15,0,1,"non-coding"
"hsa-miR-4524a-5p",63,9,54,0,1,"non-coding"
"hsa-miR-4757-5p",26,19,7,0,1,"non-coding"
"hsa-miR-663a",137,101,36,0,1,"non-coding"
"hsa-miR-6728-5p",123,82,41,0,1,"non-coding"
"hsa-miR-6794-5p",73,35,38,0,1,"non-coding"
"hsa-miR-6797-5p",153,78,75,0,1,"non-coding"
"hsa-miR-96-5p",509,30,479,0,1,"non-coding"
"hsa-miR-99a-5p",219,41,178,0,1,"non-coding"
