"Name","K","Kin","Kout","TypeI","TypeII","Type"
"hsa-miR-130a-5p",1014,32,982,0,1,"non-coding"
"hsa-miR-146a-5p",348,72,276,0,1,"non-coding"
"hsa-miR-22-5p",784,71,713,0,1,"non-coding"
"hsa-miR-222-5p",416,17,399,0,1,"non-coding"
"hsa-miR-223-5p",266,37,229,0,1,"non-coding"
"hsa-miR-3124-5p",29,16,13,0,1,"non-coding"
"hsa-miR-342-5p",410,46,364,0,1,"non-coding"
"hsa-miR-34a-5p",861,35,826,0,1,"non-coding"
"hsa-miR-3614-5p",134,79,55,0,1,"non-coding"
"hsa-miR-3648",152,147,5,0,1,"non-coding"
"hsa-miR-4473",49,32,17,0,1,"non-coding"
"hsa-miR-4524a-5p",62,9,53,0,1,"non-coding"
"hsa-miR-4757-5p",26,19,7,0,1,"non-coding"
"hsa-miR-663a",138,101,37,0,1,"non-coding"
"hsa-miR-6728-5p",124,82,42,0,1,"non-coding"
"hsa-miR-6794-5p",74,36,38,0,1,"non-coding"
"hsa-miR-6797-5p",152,77,75,0,1,"non-coding"
"hsa-miR-99a-5p",223,41,182,0,1,"non-coding"
